Date Obligation Fulfilled,City Council Approved,Type,Project Name,Ward,Alderman,Total Ward Subject Units,ARO Trigger,ARO,Zone,ARO-Subject Units,Actual In-Lieu Fees Paid,Off-Site Admin Fee,On-Site Units,Off-Site Units,Ward On-Site,Ward Off-Site,Total Ward Affordable Units,Units Below 50AMI,Units Below 60AMI,Units 81 to 100AMI
29-Jun-18,17-Jan-18,Rental,1040W Huron,27,"Walter Burnett, Jr.",2690,Zoning and PD Change,2015 ARO,Near North Pilot,196,0,0,39,0,216,0,216,0,20,19
13-Sep-17,29-Mar-17,For Sale,3340 S Justine,12,Ameya Pawar,466,Zoning Change,2015 ARO,Low-Mod Income,16,100000,0,0,0,38,0,38,,0,0
31-May-17,16-Mar-16,For Sale,3607 S Morgan,11,Daniel Solis,1043,Zoning Change,2015 ARO,Higher Income,21,125000,0,1,0,27,0,27,0,0,1
19-Oct-17,25-Jan-17,Rental,3220 N Lincoln,47,James Cappleman,858,TSL only,2015 ARO,Higher Income,19,0,0,2,0,35,0,35,0,2,0
12-Apr-18,16-Nov-16,Rental,5050 N Broadway,48,Scott Waguespack,641,Zoning and PD Change,2015 ARO,Higher Income,345,0,0,35,0,30,0,30,0,35,0
2-Apr-18,8-Nov-17,Rental,975WWilson,46,Joe Moreno,926,Zoning and PD Change,2015 ARO,Higher Income,149,1000000,0,7,0,82,10,92,0,7,0
22-Feb-18,6-Sep-17,Rental,4000W Diversey,31,James Cappleman,858,Zoning and PD Change,2015 ARO,Higher Income,124,0,0,12,0,35,0,35,,12,0
6-Jul-17,29-Mar-17,Rental,4015 N Narraoansett,38,Ameya Pawar,466,Zoning Change,2015 ARO,Higher Income,15,0,0,2,0,38,0,38,,2,0
15-Nov-16,16-Mar-16,For Sale,3607 S Moraan,11,Ameya Pawar,466,Zoning Change,2015 ARO,Higher Income,21,125000,0,0,0,38,0,38,,0,0
30-Sep-16,18-May-16,Rental,847 N Larrabee,27,Scott Waguespack,641,Zoning Change,2015 ARO,Higher Income,49,500000,0,1,0,30,0,30,,1,0
15-Sep-16,20-Jul-16,For Sale,2614 W Fullerton,1,Joe Moreno,926,Zoning Change,2015 ARO,Higher Income,14,0,0,1,0,82,10,92,,0,1
28-Jul-16,9-Dec-15,For Sale,2817 N Oaklev,32,Gilbert Villegas,18,Zoning Change,2015 ARO,Higher Income,11,125000,0,0,0,2,0,2,,0,0
29-Aug-17,16-Nov-16,For Sale,1841 N California,1,Joe Moreno,926,Zoning Change,2015 ARO,Higher Income,14,0,0,1,0,82,10,92,,0,1
30-Jul-18,,Rental,633W North Ave,2,Ameya Pawar,466,Zoning and PD Change,2015 ARO,Higher Income,261,2375000,0,7,0,38,0,38,0,7,0
17-Mar-17,22-Jun-16,Rental,734 W Sheridan,46,Joseph A. Moore,50,Zoning Change,2015 ARO,Higher Income,101,875000,0,3,0,0,0,0,,3,0
6-Sep-16,13-Jan-16,For Sale,2500 W Cortland,1,Daniel Solis,1043,Zoning Change,2015 ARO,Higher Income,49,0,25000,0,5,27,0,27,,5,0
24-May-17,16-Nov-16,Rental,1911 W Irving Park Rd,47,Scott Waguespack,641,Zoning Change,2015 ARO,Higher Income,24,0,0,2,0,30,0,30,0,2,0
25-Sep-18,29-Mar-17,Rental,2813W Belmont,33,Ameya Pawar,466,Zoning Change,2015 ARO,Higher Income,48,0,0,5,0,38,0,38,0,5,0
24-Sep-18,11-Oct-17,Rental,4646 N Darnen,47,"Walter Burnett, Jr.",2690,Zoning Change,2015 ARO,Higher Income,24,0,0,2,0,216,0,216,0,2,0
14-Sep-18,11-Oct-17,Rental,3647 N Southport,44,Daniel Solis,1043,Zoning Change,2015 ARO,Higher Income,18,125000,0,1,0,27,0,27,0,1,0
2-Aug-18,28-Mar-18,Rental,3200 N Southport,44,Ameya Pawar,466,Zoning Change,2015 ARO,Higher Income,24,128469,0,0,0,38,0,38,0,0,0
